PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON,PLAYER(season),TEAM(season),OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,Off_kmean,Def_kmean,Ovr_kmean
Linas Kleiza,DEN,22,79,42,37,48.0,19.3,6.5,15.3,42.2,2.7,7.1,37.6,3.7,4.4,85.2,2.5,6.1,8.6,1.5,2.5,0.9,0.5,6.5,33.3,1,0,2.4,06-07,Linas Kleiza(06-07),DEN(06-07),104.3,102.1,2.2,4.7,0.57,6.8,5.1,12.6,8.8,12.0,50.9,56.1,17.2,99.87,6.6,1,2,2
Ronnie Brewer,UTA,22,56,36,20,50.0,19.3,7.6,14.3,52.8,0.0,0.7,0.0,4.2,6.2,67.5,2.7,2.8,5.6,1.8,1.8,2.7,0.4,3.3,36.4,0,0,-1.0,06-07,Ronnie Brewer(06-07),UTA(06-07),103.0,102.9,0.2,5.7,1.0,8.7,5.7,6.4,6.0,8.7,52.8,56.6,16.2,96.45,9.0,0,1,1
James White,SAS,24,6,4,2,52.5,19.2,6.9,15.8,43.9,0.8,2.7,28.6,4.6,5.8,80.0,1.2,6.5,7.7,1.9,1.9,1.2,0.4,2.7,34.0,0,0,-8.5,06-07,James White(06-07),SAS(06-07),97.3,105.8,-8.5,6.5,1.0,8.8,2.2,12.8,7.5,8.8,46.3,52.5,17.5,91.39,9.0,0,1,1
Josh Boone,NJN,22,61,33,28,50.6,19.2,7.5,12.9,57.9,0.0,0.0,0.0,4.2,7.8,54.4,4.8,8.5,13.3,0.8,2.5,0.8,1.6,7.1,41.1,1,0,1.1,06-07,Josh Boone(06-07),NJN(06-07),101.1,99.4,1.7,2.7,0.3,3.9,9.9,16.2,13.2,12.7,57.9,58.7,16.7,95.08,8.9,0,1,1
Jarrett Jack,POR,23,79,30,49,53.7,19.2,6.5,14.3,45.4,1.3,3.6,35.0,4.9,5.7,87.1,0.4,3.9,4.2,8.5,3.8,1.7,0.2,4.1,38.9,3,0,-6.1,06-07,Jarrett Jack(06-07),POR(06-07),102.7,108.8,-6.1,26.5,2.23,29.5,0.7,8.1,4.3,13.2,49.9,57.1,17.5,89.37,10.3,3,0,0
Malik Allen,CHI,29,60,35,25,50.4,19.1,8.5,20.4,41.5,0.0,0.1,0.0,2.2,2.7,82.4,3.3,6.1,9.4,1.3,1.7,1.3,1.3,6.7,38.5,0,0,5.6,06-07,Malik Allen(06-07),CHI(06-07),102.8,98.0,4.8,4.1,0.76,5.2,6.8,12.2,9.5,6.8,41.5,44.3,20.2,94.78,6.1,0,1,1
Tyrus Thomas,CHI,20,72,44,28,49.3,19.1,6.8,14.4,47.5,0.0,0.1,0.0,5.4,8.9,60.6,4.5,9.2,13.7,2.0,4.8,2.3,3.9,8.3,52.5,2,0,7.7,06-07,Tyrus Thomas(06-07),CHI(06-07),101.9,93.3,8.6,6.6,0.43,8.0,9.2,17.9,13.6,18.9,47.5,52.1,20.1,97.72,9.3,0,1,1
Alan Anderson,CHA,24,17,7,10,49.7,19.1,7.2,15.8,45.7,1.0,3.9,25.0,3.7,4.5,82.6,2.1,4.1,6.2,4.1,4.3,1.4,0.0,6.4,32.5,0,0,-3.3,06-07,Alan Anderson(06-07),CHA(06-07),95.5,99.4,-3.9,14.4,0.95,15.8,4.5,8.9,6.7,16.5,48.8,53.8,19.4,96.24,6.7,0,1,1
Juwan Howard,HOU,34,80,52,28,52.3,19.0,7.6,16.4,46.5,0.0,0.0,0.0,3.8,4.6,82.4,3.4,8.2,11.6,3.2,2.8,0.7,0.2,5.0,37.7,9,0,1.7,06-07,Juwan Howard(06-07),HOU(06-07),103.8,102.9,0.8,10.5,1.17,13.3,6.8,16.2,11.5,11.3,46.5,51.7,18.5,91.44,9.3,0,1,1
Anthony Parker,TOR,32,73,43,30,51.2,19.0,6.9,14.4,47.7,2.4,5.5,44.1,2.8,3.3,83.0,1.3,4.7,5.9,3.2,1.5,1.5,0.2,2.8,34.7,0,0,6.5,06-07,Anthony Parker(06-07),TOR(06-07),108.1,101.4,6.7,9.6,2.15,15.7,2.7,9.6,6.2,7.3,56.1,59.6,15.5,93.9,9.6,1,2,2
